,Grupo de edad,Sexo,fecha,Cantidad
78,30 - 44 años,M,2020-04-17,198
79,30 - 44 años,M,2020-04-18,205
80,30 - 44 años,M,2020-04-19,207
81,45 - 59 años,M,2020-03-24,8
82,45 - 59 años,M,2020-03-25,17
83,45 - 59 años,M,2020-03-26,20
84,45 - 59 años,M,2020-03-27,23
85,45 - 59 años,M,2020-03-28,32
86,45 - 59 años,M,2020-03-29,35
87,45 - 59 años,M,2020-03-30,39
88,45 - 59 años,M,2020-03-31,48
89,45 - 59 años,M,2020-04-01,56
90,45 - 59 años,M,2020-04-02,60
91,45 - 59 años,M,2020-04-03,65
92,45 - 59 años,M,2020-04-04,72
93,45 - 59 años,M,2020-04-05,76
94,45 - 59 años,M,2020-04-06,83
95,45 - 59 años,M,2020-04-07,92
96,45 - 59 años,M,2020-04-08,103
97,45 - 59 años,M,2020-04-09,128
98,45 - 59 años,M,2020-04-10,158
99,45 - 59 años,M,2020-04-11,169
100,45 - 59 años,M,2020-04-12,178
101,45 - 59 años,M,2020-04-13,183
102,45 - 59 años,M,2020-04-14,193
103,45 - 59 años,M,2020-04-15,211
104,45 - 59 años,M,2020-04-16,229
105,45 - 59 años,M,2020-04-17,250
106,45 - 59 años,M,2020-04-18,259
107,45 - 59 años,M,2020-04-19,261
108,60 - 79 años,M,2020-03-24,11
109,60 - 79 años,M,2020-03-25,22
110,60 - 79 años,M,2020-03-26,25
111,60 - 79 años,M,2020-03-27,28
112,60 - 79 años,M,2020-03-28,32
113,60 - 79 años,M,2020-03-29,35
114,60 - 79 años,M,2020-03-30,36
115,60 - 79 años,M,2020-03-31,43
116,60 - 79 años,M,2020-04-01,55
117,60 - 79 años,M,2020-04-02,57
118,60 - 79 años,M,2020-04-03,70
119,60 - 79 años,M,2020-04-04,86
120,60 - 79 años,M,2020-04-05,90
121,60 - 79 años,M,2020-04-06,94
122,60 - 79 años,M,2020-04-07,103
123,60 - 79 años,M,2020-04-08,121
124,60 - 79 años,M,2020-04-09,145
125,60 - 79 años,M,2020-04-10,174
126,60 - 79 años,M,2020-04-11,190
127,60 - 79 años,M,2020-04-12,198
128,60 - 79 años,M,2020-04-13,203
129,60 - 79 años,M,2020-04-14,216
130,60 - 79 años,M,2020-04-15,235
131,60 - 79 años,M,2020-04-16,267
132,60 - 79 años,M,2020-04-17,279
133,60 - 79 años,M,2020-04-18,291
134,60 - 79 años,M,2020-04-19,293
135,80 y más años,M,2020-03-24,2
136,80 y más años,M,2020-03-25,3
137,80 y más años,M,2020-03-26,6
138,80 y más años,M,2020-03-27,6
139,80 y más años,M,2020-03-28,8
140,80 y más años,M,2020-03-29,8
141,80 y más años,M,2020-03-30,8
142,80 y más años,M,2020-03-31,10
143,80 y más años,M,2020-04-01,14
144,80 y más años,M,2020-04-02,15
145,80 y más años,M,2020-04-03,17
146,80 y más años,M,2020-04-04,19
147,80 y más años,M,2020-04-05,24
148,80 y más años,M,2020-04-06,25
149,80 y más años,M,2020-04-07,29
150,80 y más años,M,2020-04-08,34
151,80 y más años,M,2020-04-09,35
152,80 y más años,M,2020-04-10,41
153,80 y más años,M,2020-04-11,51
154,80 y más años,M,2020-04-12,52
155,80 y más años,M,2020-04-13,55
156,80 y más años,M,2020-04-14,58
157,80 y más años,M,2020-04-15,63
158,80 y más años,M,2020-04-16,65
159,80 y más años,M,2020-04-17,66
160,80 y más años,M,2020-04-18,68
161,80 y más años,M,2020-04-19,73
162,00 - 15 años,F,2020-03-24,1
163,00 - 15 años,F,2020-03-25,1
164,00 - 15 años,F,2020-03-26,1
165,00 - 15 años,F,2020-03-27,1
166,00 - 15 años,F,2020-03-28,1
167,00 - 15 años,F,2020-03-29,2
168,00 - 15 años,F,2020-03-30,2
169,00 - 15 años,F,2020-03-31,2
170,00 - 15 años,F,2020-04-01,2
171,00 - 15 años,F,2020-04-02,2
172,00 - 15 años,F,2020-04-03,2
173,00 - 15 años,F,2020-04-04,2
174,00 - 15 años,F,2020-04-05,2
175,00 - 15 años,F,2020-04-06,3
176,00 - 15 años,F,2020-04-07,3
177,00 - 15 años,F,2020-04-08,4
178,00 - 15 años,F,2020-04-09,7
179,00 - 15 años,F,2020-04-10,7
180,00 - 15 años,F,2020-04-11,7
181,00 - 15 años,F,2020-04-12,8
182,00 - 15 años,F,2020-04-13,10
183,00 - 15 años,F,2020-04-14,11
184,00 - 15 años,F,2020-04-15,11
185,00 - 15 años,F,2020-04-16,13
186,00 - 15 años,F,2020-04-17,15
187,00 - 15 años,F,2020-04-18,16
188,00 - 15 años,F,2020-04-19,16
189,15 - 29 años,F,2020-03-24,9
190,15 - 29 años,F,2020-03-25,13
191,15 - 29 años,F,2020-03-26,16
192,15 - 29 años,F,2020-03-27,17
193,15 - 29 años,F,2020-03-28,18
194,15 - 29 años,F,2020-03-29,18
195,15 - 29 años,F,2020-03-30,18
196,15 - 29 años,F,2020-03-31,18
197,15 - 29 años,F,2020-04-01,22
198,15 - 29 años,F,2020-04-02,22
199,15 - 29 años,F,2020-04-03,22
200,15 - 29 años,F,2020-04-04,22
201,15 - 29 años,F,2020-04-05,27
202,15 - 29 años,F,2020-04-06,30
203,15 - 29 años,F,2020-04-07,34
204,15 - 29 años,F,2020-04-08,43
205,15 - 29 años,F,2020-04-09,51
206,15 - 29 años,F,2020-04-10,55
207,15 - 29 años,F,2020-04-11,60
208,15 - 29 años,F,2020-04-12,61
209,15 - 29 años,F,2020-04-13,63
210,15 - 29 años,F,2020-04-14,69
211,15 - 29 años,F,2020-04-15,76
212,15 - 29 años,F,2020-04-16,80
213,15 - 29 años,F,2020-04-17,85
214,15 - 29 años,F,2020-04-18,87
215,15 - 29 años,F,2020-04-19,89
216,30 - 44 años,F,2020-03-24,7
217,30 - 44 años,F,2020-03-25,20
218,30 - 44 años,F,2020-03-26,24
219,30 - 44 años,F,2020-03-27,26
220,30 - 44 años,F,2020-03-28,26
221,30 - 44 años,F,2020-03-29,28
222,30 - 44 años,F,2020-03-30,30
223,30 - 44 años,F,2020-03-31,36
224,30 - 44 años,F,2020-04-01,39
225,30 - 44 años,F,2020-04-02,40
226,30 - 44 años,F,2020-04-03,46
227,30 - 44 años,F,2020-04-04,50
228,30 - 44 años,F,2020-04-05,54
229,30 - 44 años,F,2020-04-06,56
230,30 - 44 años,F,2020-04-07,60
231,30 - 44 años,F,2020-04-08,70
232,30 - 44 años,F,2020-04-09,80
233,30 - 44 años,F,2020-04-10,93
234,30 - 44 años,F,2020-04-11,105
235,30 - 44 años,F,2020-04-12,111
236,30 - 44 años,F,2020-04-13,113
237,30 - 44 años,F,2020-04-14,118
238,30 - 44 años,F,2020-04-15,133
239,30 - 44 años,F,2020-04-16,150
240,30 - 44 años,F,2020-04-17,154
241,30 - 44 años,F,2020-04-18,161
242,30 - 44 años,F,2020-04-19,164
243,45 - 59 años,F,2020-03-24,6
244,45 - 59 años,F,2020-03-25,19
245,45 - 59 años,F,2020-03-26,25
246,45 - 59 años,F,2020-03-27,27
247,45 - 59 años,F,2020-03-28,31
248,45 - 59 años,F,2020-03-29,31
249,45 - 59 años,F,2020-03-30,37
250,45 - 59 años,F,2020-03-31,42
251,45 - 59 años,F,2020-04-01,46
252,45 - 59 años,F,2020-04-02,46
253,45 - 59 años,F,2020-04-03,52
254,45 - 59 años,F,2020-04-04,59
255,45 - 59 años,F,2020-04-05,61
256,45 - 59 años,F,2020-04-06,67
257,45 - 59 años,F,2020-04-07,72
258,45 - 59 años,F,2020-04-08,88
259,45 - 59 años,F,2020-04-09,112
260,45 - 59 años,F,2020-04-10,126
261,45 - 59 años,F,2020-04-11,139
262,45 - 59 años,F,2020-04-12,141
263,45 - 59 años,F,2020-04-13,150
264,45 - 59 años,F,2020-04-14,159
265,45 - 59 años,F,2020-04-15,180
266,45 - 59 años,F,2020-04-16,196
267,45 - 59 años,F,2020-04-17,204
268,45 - 59 años,F,2020-04-18,206
269,45 - 59 años,F,2020-04-19,209
270,60 - 79 años,F,2020-03-24,5
271,60 - 79 años,F,2020-03-25,12
272,60 - 79 años,F,2020-03-26,17
273,60 - 79 años,F,2020-03-27,25
274,60 - 79 años,F,2020-03-28,32
275,60 - 79 años,F,2020-03-29,32
276,60 - 79 años,F,2020-03-30,37
277,60 - 79 años,F,2020-03-31,45
278,60 - 79 años,F,2020-04-01,52
279,60 - 79 años,F,2020-04-02,54
280,60 - 79 años,F,2020-04-03,65
281,60 - 79 años,F,2020-04-04,74
282,60 - 79 años,F,2020-04-05,81
283,60 - 79 años,F,2020-04-06,84
284,60 - 79 años,F,2020-04-07,92
285,60 - 79 años,F,2020-04-08,108
286,60 - 79 años,F,2020-04-09,123
287,60 - 79 años,F,2020-04-10,138
288,60 - 79 años,F,2020-04-11,151
289,60 - 79 años,F,2020-04-12,161
290,60 - 79 años,F,2020-04-13,163
291,60 - 79 años,F,2020-04-14,172
292,60 - 79 años,F,2020-04-15,190
293,60 - 79 años,F,2020-04-16,208
294,60 - 79 años,F,2020-04-17,215
295,60 - 79 años,F,2020-04-18,216
296,60 - 79 años,F,2020-04-19,218
297,80 y más años,F,2020-03-24,1
298,80 y más años,F,2020-03-25,2
299,80 y más años,F,2020-03-26,2
300,80 y más años,F,2020-03-27,3
301,80 y más años,F,2020-03-28,5
302,80 y más años,F,2020-03-29,6
303,80 y más años,F,2020-03-30,7
304,80 y más años,F,2020-03-31,7
305,80 y más años,F,2020-04-01,10
306,80 y más años,F,2020-04-02,11
307,80 y más años,F,2020-04-03,14
308,80 y más años,F,2020-04-04,16
309,80 y más años,F,2020-04-05,16
310,80 y más años,F,2020-04-06,19
311,80 y más años,F,2020-04-07,22
312,80 y más años,F,2020-04-08,27
313,80 y más años,F,2020-04-09,33
314,80 y más años,F,2020-04-10,39
315,80 y más años,F,2020-04-11,45
316,80 y más años,F,2020-04-12,48
317,80 y más años,F,2020-04-13,50
318,80 y más años,F,2020-04-14,50
319,80 y más años,F,2020-04-15,52
320,80 y más años,F,2020-04-16,58
321,80 y más años,F,2020-04-17,63
322,80 y más años,F,2020-04-18,64
323,80 y más años,F,2020-04-19,65
